pattern,frequency
['US'],0.4134366925064599
['Italy'],0.1555621811435765
['France'],0.13978665606572582
['Spain'],0.05478036175710594
['87'],0.137461074670377
['88'],0.1184058835221626
['90'],0.10583051745842444
['86'],0.10318028225004969
['89'],0.08560922281852515
['85'],0.08223017292784734
['84'],0.07094679652819187
['91'],0.06980719538859073
['92'],0.061227058901477505
['20.0'],0.05744384814152256
['15.0'],0.05142781421851189
['California'],0.2948982972238786
['Washington'],0.06459948320413436
['Napa Valley'],0.05185847743987279
['Chardonnay'],0.09595176571920758
['Pinot Noir'],0.09468627840720864
['Cabernet Sauvignon'],0.08480752666799178
['Red Blend'],0.06666666666666667
"['California', 'US']",0.294964553104088
"['US', 'Washington']",0.06460610879215531
"['Chardonnay', 'US']",0.05387928178625853
"['Pinot Noir', 'US']",0.06866759424898959
"['Cabernet Sauvignon', 'US']",0.06086265156032598
"['California', 'Pinot Noir']",0.050957397469025376
"['Cabernet Sauvignon', 'California']",0.05020870602265951
"['California', 'Pinot Noir', 'US']",0.05067912277214603
